ID,DNA,RADseq_pool_100bp,RADseq_pool_150bp,Adapter_100bp,Adapter_150bp,W.S,CSr,P.H,L.L,L.W,Pti,Lam,LLW,P.L,L.M,N.L,S.H,Gsh,Ssh,SLD,Gen,B.T,F.T,SLL,SLW,Pet,FSr,Rot,Sht,RSR,RD1,RD2,RD3,RD4,Replanted,Block,Tray,Cross,TrayBlock
1051,15.6,16,16,3,3,0.00240909090909086,1,26,1.717,0.68,0.663,1.054,1.55,0.63,2,20,29,NA,3,0.69,F2,154,176,NA,NA,NA,NA,NA,NA,NA,2.844,3.834,3.686,3.528,NA,NA,41,3,41
890,64.5,45,50,12,6,0.00289090909090903,1,33.5,NA,NA,NA,NA,NA,NA,NA,14,33,3,2,0.42,F2,167,190,2.484,1.156,NA,NA,NA,NA,NA,2.053,3.897,4.179,4.891,NA,NA,35,3,35
442,14.3,8,8,19,19,0.0053,1,32,2.199,1.175,0.486,1.713,1.457872,0.28,2,23,37,2,2,0.62,F2,170,195,2.89,1.437,NA,NA,NA,NA,NA,2.113,4.018,4.581,3.995,NA,NA,17,3,17
963,27.2,24,24,19,19,0.0138,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,F2,167,190,NA,NA,NA,NA,NA,NA,NA,2.133,2.649,2.441,2.736,NA,NA,38,2,38
946,33.1,28,28,16,16,0.0038,1,49,1.971,1.018,0.414,1.557,1.52947,0.27,1,34,43,NA,1,0.79,F2,162,193,NA,NA,NA,NA,NA,NA,NA,2.693,4.704,4.888,4.222,NA,NA,37,2,37
1117,12.6,22,22,16,16,0.007,1,20,NA,NA,NA,NA,NA,NA,NA,15,20,NA,3,0.75,F2,167,183,NA,NA,NA,NA,NA,NA,NA,1.259,2.578,2.533,2.485,NA,NA,43,3,43
475,11.6,30,30,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.269,1.842,1.975,3.398,NA,NA,19,2,19
630,27.1,20,20,1,1,0.0093,1,30,1.272,0.731,NA,1.272,1.740082,NA,1,20,34,NA,3,0.59,F2,156,181,NA,NA,NA,NA,NA,NA,NA,1.605,2.74,2.942,3.184,1,NA,25,3,25
458,14.8,38,38,8,8,0.0063,1,35,1.411,0.857,0.179,1.232,1.437573,0.15,1,16,35,1,NA,0.46,F2,170,196,NA,NA,5.001,NA,NA,NA,NA,1.177,2.006,2.118,2.989,NA,NA,18,2,18
1003,13.7,46,46,8,8,0.0105,1,24,1.32,0.648,0.411,0.909,1.402778,0.45,1,14,23,2,1,0.61,F2,166,181,2.876,1.067,NA,NA,NA,NA,NA,1.389,2.378,2.357,2.722,NA,NA,39,3,39
979,16.4,36,36,10,10,0.0127,1,28,NA,NA,NA,NA,NA,NA,NA,27,35,NA,3,0.77,F2,170,190,NA,NA,NA,NA,NA,NA,NA,1.37,2.832,2.99,3.726,NA,NA,38,2,38
548,12.8,31,31,10,10,0.0154,1,36,NA,NA,NA,NA,NA,NA,NA,29,50,NA,2,0.58,F2,159,187,NA,NA,NA,NA,NA,NA,NA,2.139,3.796,2.925,4.516,NA,NA,22,2,22
590,13.4,22,22,13,13,0.0131897727272725,1,42,2.155,0.986,0.179,1.976,2.004057,0.09,1,24,42,NA,3,0.57,F2,166,195,3.137,1.241,NA,NA,NA,NA,NA,2.35,3.609,4.265,2.999,NA,NA,23,3,23
573,20,37,37,16,16,0.00674545454545441,1,32.5,1.96,0.947,0.499,1.461,1.542767,0.34,2,25,35,1,3,0.71,F2,166,195,NA,NA,NA,NA,NA,NA,NA,2.403,3.442,3.753,3.964,NA,NA,23,3,23
12,16,NA,51,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0318,0.161,0.19751553,2.074,4.096,4.168,3.552,NA,1,NA,NA,1
646,55.6,39,39,14,14,NA,1,38,1.717,0.824,0.706,1.011,1.226942,0.7,1,23,41,NA,2,0.56,F2,162,187,NA,NA,NA,NA,NA,NA,NA,1.858,3.333,3.765,3.789,NA,NA,25,3,25
801,14.2,26,26,12,12,0.0132,1,25,NA,NA,NA,NA,NA,NA,NA,24,30,NA,2,0.8,F2,154,178,NA,NA,NA,NA,NA,NA,NA,2.412,2.97,3.058,3.457,NA,NA,31,2,31
21,19.5,NA,52,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1.526,3.234,3.001,3.664,NA,1,NA,NA,1
719,15,4,4,19,19,0.013,1,38.5,NA,NA,NA,NA,NA,NA,NA,27,40,3,2,0.68,F2,166,195,NA,NA,NA,NA,NA,NA,NA,2.265,4.444,4.497,4.612,NA,NA,28,2,28
761,21.6,44,44,15,15,0.00234886363636359,1,26.5,1.175,0.57,0.318,0.857,1.503509,0.37,1,17,30,NA,NA,0.57,F2,161,178,NA,NA,NA,NA,NA,NA,NA,2.121,3.052,2.76,3.202,NA,NA,30,2,30
30,22.6,18,18,17,17,0.0063,1,33,1.496,0.683,0.392,1.104,1.616398,0.36,1,17,31,2,2,0.55,F2,159,181,NA,NA,6.2808,NA,NA,NA,NA,2.059,2.49,2.303,2.995,1,NA,2,2,2
330,35.3,41,41,6,6,0.0111,1,24,1.094,0.637,0.257,0.837,1.313972,0.31,1,11,21,1,3,0.52,F2,173,193,2.413,1.109,5.585,NA,NA,NA,NA,1.278,2.4,2.024,2.124,NA,NA,13,2,13
158,15.5,26,48,1,5,NA,1,33.5,2.411,1.197,0.08,2.331,1.947368,0.03,2,32,40,NA,3,0.8,F2,160,187,NA,NA,NA,NA,NA,NA,NA,3.183,4.514,4.527,4.954,NA,NA,7,2,7
907,21.8,11,11,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25,45,NA,1,0.56,F2,167,NA,3.291,1.527,NA,NA,NA,NA,NA,2.29,3.46,1.802,5.011,NA,NA,35,3,35
86,22.9,20,20,2,2,NA,1,NA,1.307,0.724,NA,1.307,1.805249,NA,1,16,30,NA,NA,0.53,F2,172,NA,2.169,1.099,NA,NA,NA,NA,NA,1.82,2.595,2.654,2.997,NA,NA,4,2,4
273,15,2,2,14,14,NA,1,NA,0.997,0.491,0.068,0.929,1.892057,0.07,1,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.753,2,1.929,NA,NA,11,3,11
794,11.4,45,50,3,2,0.0057,1,29,NA,NA,NA,NA,NA,NA,NA,18,29,2,2,0.62,F2,167,193,NA,NA,NA,NA,NA,NA,NA,2.197,2.958,2.768,4.521,NA,NA,31,2,31
777,12.4,8,47,15,4,0.00174659090909087,1,19,1.57,0.856,0.332,1.238,1.446262,0.27,1,20,20,NA,NA,1,F2,165,186,NA,NA,NA,NA,NA,NA,NA,1.9,3.666,3.892,4.154,NA,NA,30,2,30
346,50.1,33,33,4,4,0.0189,1,36,1.575,0.825,0.352,1.223,1.482424,0.29,1,26,39,NA,2,0.67,F2,170,193,2.74,1.459,NA,NA,NA,NA,NA,1.781,2.797,3.449,3.44,NA,NA,14,3,14
95,11.9,20,20,14,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F2,NA,NA,2.678,1.121,NA,NA,NA,NA,NA,2.355,2.641,1.609,1.573,NA,NA,4,2,4
419,14.2,43,43,1,1,0.0051,1,35,2.369,1.057,0.491,1.878,1.776727,0.26,2,31,43,NA,2,0.72,F2,160,190,2.516,1.352,NA,NA,NA,NA,NA,2.199,3.927,4.088,4.376,NA,NA,17,3,17
892,13.5,7,7,2,2,0.00283068181818176,1,21,NA,NA,NA,NA,NA,NA,NA,18,25,1,4,0.72,F2,168,196,NA,NA,NA,NA,NA,NA,NA,2.031,2.352,2.718,2.97,NA,NA,35,3,35
461,39.4,12,12,16,16,0.0105,1,34.5,2.314,1.284,NA,2.314,1.802181,NA,2,28,38,3,2,0.74,F2,170,195,2.573,1.295,6.067778,NA,NA,NA,NA,3.844,7.039,6.981,6.022,NA,NA,18,2,18
289,45.4,3,3,20,20,0.0085,1,43,1.956,1,0.618,1.338,1.338,0.46,1,21,38,2,3,0.55,F2,170,193,NA,NA,NA,NA,NA,NA,NA,2.466,4.856,4.86,4.794,NA,NA,12,2,12
