"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"nem_10",154,178,0.0252,29.5,1.491,1.5811240721,2.023,0.943,28,4.092,0.532,2.665,4.235,4.153,4.683,5,38,0.74,2.066,1.312,0.36,0,"10","A.nem"
"nem_11",161,193,0.02856,42,1.348,1.5318181818,1.584,0.88,29,2.836,0.236,1.741,2.984,2.94,3.333,3,40,0.73,2.211,1.326,0.18,0,"11","A.nem"
"nem_12",159,181,0.0321,32,1.094,1.6753445636,1.656,0.653,27,4.0056,0.562,2.149,3.198,3.724,4.215,2,44,0.61,2.693,1.536,0.51,1,"12","A.nem"
"nem_13",162,190,NA,37,1.034,1.4985507246,1.23,0.69,21,3.5948,0.196,1.602,3.22,3.201,3.327,1,39,0.54,NA,NA,0.19,0,"13","A.nem"
"nem_14",158,181,0.033,30,1.219,1.5955497382,1.219,0.764,27,4.1734,0,1.581,3.285,3.346,3.543,2,42,0.64,2.453,1.519,0,0,"14","A.nem"
"nem_15",161,187,NA,34,1.44,1.5351812367,1.904,0.938,30,3.3105,0.464,2.029,3.66,3.84,3.679,1,42,0.71,2.369,1.397,0.32,1,"15","A.nem"
"nem_16",162,190,0.0264,43,1.075,1.4705882353,1.23,0.731,28,3.9048,0.155,1.628,2.799,2.787,3.103,2,38,0.74,2.553,1.43,0.14,0,"16","A.nem"
"nem_17",160,193,NA,45,1.11,1.712962963,1.11,0.648,24,4.2354,0,1.631,2.016,2.219,2.5,1,40,0.6,NA,NA,0,0,"17","A.nem"
"nem_18",156,181,NA,30,1.606,1.5964214712,1.878,1.006,25,4.3508888889,0.272,2.375,4.434,4.57,3.717,1,38,0.66,NA,NA,0.17,0,"18","A.nem"
"nem_19",160,186,0.033,36,1.361,1.5501138952,1.604,0.878,23,4.0788,0.243,0.954,2.006,2.011,3.323,3,39,0.59,2.622,1.427,0.18,0,"19","A.nem"
"nem_2",160,185,NA,35,0.984,1.5794542536,1.54,0.623,28,3.854,0.556,1.984,3.819,3.605,4.067,2,42,0.67,2.446,1.518,0.57,0,"2","A.nem"
"nem_21",161,193,0.03012,52,0.756,1.1648690293,1.205,0.649,26,4.6296,0.449,1.289,2.214,2.536,2.929,2,40,0.65,2.768,1.681,0.59,0,"21","A.nem"
"nem_22",158,181,NA,38,1.578,1.6020304569,1.87,0.985,32,4.644,0.292,1.931,3.777,3.912,4.364,3,48,0.67,2.299,1.356,0.19,0,"22","A.nem"
"nem_23",156,183,0.03474,36,1.372,1.6490384615,1.372,0.832,29,4.0914,0,2.202,3.358,3.276,3.853,3,45,0.64,2.326,1.567,0,0,"23","A.nem"
