"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"417",170,195,NA,32.5,1.543,1.5097847358,1.842,1.022,16,NA,0.299,2.163,3.551,3.351,3.093,2,33,0.48,NA,NA,0.19,0,"17","F2"
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.355,2.641,1.609,1.573,NA,NA,NA,2.678,1.121,NA,NA,"4","F2"
"601",161,174,NA,19,0.817,1.1621621622,1.13,0.703,14,NA,0.313,1.378,2.939,3.096,2.947,1,23,0.61,NA,NA,0.38,1,"24","F2"
"576",165,190,NA,39,1.129,1.2475138122,1.524,0.905,16,NA,0.395,1.665,2.623,3.4,2.907,4,34,0.47,NA,NA,0.35,1,"23","F2"
"519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.794,3.979,3.989,3.983,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.068,6.72,6.827,6.88,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"378",170,194,0.0107,28,1.356,1.6536585366,1.545,0.82,19,5.1748,0.189,3.065,3.36,3.315,3.56,2,28,0.68,2.837,1.143,0.14,0,"15","F2"
"32",166,187,NA,29,0.963,1.350631136,1.352,0.713,14,4.3252,0.389,1.874,2.878,2.757,2.664,3,35,0.4,3.031,1.55,0.4,2,"2","F2"
"1106",161,190,NA,41,NA,NA,NA,NA,21,NA,NA,1.563,1.996,1.95,3.478,2,42,0.5,NA,NA,NA,1,"43","F2"
"579",170,NA,NA,NA,0.859,1.385483871,0.992,0.62,NA,NA,0.133,1.325,1.203,1.837,1.28,NA,NA,NA,NA,NA,0.15,NA,"23","F2"
"90",NA,NA,NA,NA,1.114,1.9681978799,1.218,0.566,NA,NA,0.104,1.824,2.522,2.28,2.998,NA,NA,NA,NA,NA,0.09,NA,"4","F2"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.978,4.172,4.5,3.964,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"997",160,181,0.0081,27,1.436,1.7280385078,1.711,0.831,19,NA,0.275,2.107,3.71,3.737,4.238,2,25,0.76,2.259,1.337,0.19,2,"39","F2"
"913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.038,3.669,3.884,4.734,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"733",154,181,NA,33,NA,NA,NA,NA,20,NA,NA,2.59,2.845,2.932,4.479,3,36,0.56,NA,NA,NA,0,"29","F2"
"726",166,187,0.0228,29.5,NA,NA,NA,NA,22,NA,NA,1.445,2.521,2.631,3.152,2,33,0.67,NA,NA,NA,2,"28","F2"
"1032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294,2.088,2.026,3.569,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"372",168,193,0.0102,29,1.844,1.7445600757,2.404,1.057,21,5.3248,0.56,2.42,4.057,4.251,3.94,3,33,0.64,NA,NA,0.3,2,"15","F2"
"864",155,181,0.0125,26,NA,NA,NA,NA,20,NA,NA,2.817,4.565,4.361,4.176,2,20,1,NA,NA,NA,0,"34","F2"
"365",161,195,0.0118,34.5,1.936,2.0314795383,2.602,0.953,36,4.2784,0.666,3.037,4.865,4.757,4.268,0,35,1.03,2.82,1.107,0.34,0,"15","F2"
"462",160,185,0.012,22,0.907,1.2340136054,1.165,0.735,16,4.9462,0.258,1.263,2.816,2.745,3.053,2,25,0.64,NA,NA,0.28,2,"18","F2"
"247",165,179,0.0066,13.5,NA,NA,NA,NA,NA,3.6684,NA,2.599,4.693,4.665,5.215,4,20,NA,NA,NA,NA,0,"10","F2"
"130",160,176,NA,21,1.429,1.78625,1.429,0.8,10,NA,0,1.998,2.683,2.823,2.811,2,18,0.56,3.382,1.615,0,3,"5","F2"
"888",174,196,0.0046,36.5,NA,NA,NA,NA,18,NA,NA,1.778,2.877,2.936,3.4,4,40,0.45,NA,NA,NA,0,"35","F2"
"389",162,189,NA,29,1.298,1.7399463807,1.596,0.746,22,4.6218,0.298,2.608,3.633,4.245,3.692,2,36,0.61,NA,NA,0.23,2,"15","F2"
"355",161,185,NA,29,1.606,1.6694386694,2.063,0.962,13,NA,0.457,1.956,4.454,4.979,5.02,1,28,0.46,3.138,1.589,0.28,1,"14","F2"
"207",168,193,0.0065,45,1.795,1.6259057971,2.265,1.104,26,NA,0.47,2.238,4.27,4.809,5.393,4,41,0.63,NA,NA,0.26,1,"8","F2"
"1102",166,190,NA,27,NA,NA,NA,NA,24,NA,NA,2.137,5.031,4.96,4.985,3,37,0.65,3.455,1.488,NA,0,"43","F2"
"675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.344,2.407,2.634,3.278,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218,4.375,4.685,4.64,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"186",170,193,NA,32,1.114,1.5429362881,1.114,0.722,16,NA,0,1.549,2.646,2.782,6.101,3,30,0.53,NA,NA,0,0,"8","F2"
"437",167,190,0.0098,34,1.454,1.7126030624,1.557,0.849,20,NA,0.103,1.758,3.376,3.106,3.622,3,32,0.63,NA,NA,0.07,1,"17","F2"
